geneName	h1_T0	h1_T12	h2_T0	h2_T12
ARMC9	195	97	155	113
ARMCX1	55	60	57	64
ARMCX2	778	1021	712	793
ARMCX3	1434	1637	1030	910
ARMCX6	27	28	33	36
ARNT	593	507	472	438
ARNT2	70	98	58	42
ARNTL	151	485	98	512
ARNTL2	41	225	19	78
ARPC1A	206	297	161	275
ARPC1B	453	924	541	1328
ARPC2	2166	5000	2507	5644
ARPC4	858	1845	943	2736
ARPC5	35	72	42	54
ARPC5L	1	1	1	0
ARPP19	18	22	10	16
ARPP21	0	0	0	0
ARR3	1	0	4	4
ARRB1	82	33	22	3
ARRB2	13	10	15	17
ARRDC2	108	113	126	171
ARRDC3	807	822	478	816
ARRDC4	225	564	160	386
ARRDC5	0	0	0	0
ARSA	384	266	446	312
ARSB	382	363	362	360
ARSG	30	41	24	31
ARSI	15	84	27	52
ARSJ	525	1438	401	937
ARSK	65	77	48	41
ART1	0	0	0	0
ART3	1	0	0	0
ART4	0	0	0	0
ART5	4	1	0	2
ARTN	2	2	1	1
ARV1	88	89	88	75
ARVCF	65	14	110	30
AS3MT	5	1	20	9
ASAH1	630	444	365	300
ASAP1	1182	2012	728	878
ASAP2	706	1515	603	478
ASB1	165	341	175	340
ASB10	0	0	0	0
ASB11	0	0	0	0
ASB12	0	0	0	0
ASB13	28	25	29	36
ASB14	23	35	20	13
ASB15	0	0	0	0
ASB16	25	18	14	6
ASB17	0	0	0	0
ASB2	0	0	2	2
ASB3	87	137	73	138
ASB4	0	0	1	0
ASB5	1	0	2	1
ASB6	203	363	247	444
ASB7	196	162	143	126
ASB8	352	298	304	292
ASCC1	143	113	143	121
ASCC2	316	593	261	646
ASCC3	1225	2463	881	1223
ASCL3	1	0	0	0
ASCL4	0	0	0	0
ASF1A	122	138	90	85
ASF1B	0	5	0	10
ASH2L	286	290	268	328
ASIP	1	0	1	1
ASNA1	365	517	402	865
ASNS	558	329	654	328
ASNSD1	503	778	458	357
ASPA	16	3	11	4
ASPDH	4	0	3	2
ASPG	0	0	0	0
ASPH	3749	3959	2780	2103
ASPHD1	16	42	29	88
ASPHD2	29	23	77	48
ASPM	45	23	8	5
